,searchTime,maxPage,page,themeName,themeTime,themeNum,viewNum,themeAddress
18,2023-05-01 00:43:50,5,2,魔王學院的不適任者～史上最強的魔王始祖，轉生就讀子孫們的學校～第二季,年份：2023/01,共6集,88.9萬,https://animeRef.php?sn=113199
19,2023-05-01 00:43:50,5,2,眾神眷顧的男人 2,年份：2023/01,共12集,87.1萬,https://animeRef.php?sn=113200
20,2023-05-01 00:43:50,5,2,虛構推理 第二季,年份：2023/01,共12集,69萬,https://animeRef.php?sn=113201
21,2023-05-01 00:43:50,5,2,D4DJ All Mix,年份：2023/01,共12集,10.7萬,https://animeRef.php?sn=113214
22,2023-05-01 00:43:50,5,2,不要欺負我，長瀞同學 2nd Attack,年份：2023/01,共12集,57.4萬,https://animeRef.php?sn=113217
23,2023-05-01 00:43:50,5,2,最強陰陽師的異世界轉生記,年份：2023/01,共13集,271.8萬,https://animeRef.php?sn=113220
24,2023-05-01 00:43:50,5,2,關於我在無意間被隔壁的天使變成廢柴這件事,年份：2023/01,共12集,196.3萬,https://animeRef.php?sn=113195
25,2023-05-01 00:43:50,5,2,TRIGUN STAMPEDE,年份：2023/01,共12集,49.7萬,https://animeRef.php?sn=113196
26,2023-05-01 00:43:50,5,2,Buddy Daddies 殺手奶爸,年份：2023/01,共13集,69.5萬,https://animeRef.php?sn=113206
27,2023-05-01 00:43:50,5,2,被解僱的暗黑士兵（30多歲）開始了慢生活的第二人生,年份：2023/01,共12集,128.5萬,https://animeRef.php?sn=113219
0,2023-05-01 00:43:50,5,3,阿魯斯的巨獸,年份：2023/01,共12集,31.5萬,https://animeRef.php?sn=113221
1,2023-05-01 00:43:50,5,3,異世界悠閒農家,年份：2023/01,共12集,243.4萬,https://animeRef.php?sn=113191
2,2023-05-01 00:43:50,5,3,Love Live！虹咲學園 學園偶像同好會 短篇動畫,年份：2023/01,共12集,7.3萬,https://animeRef.php?sn=113192
3,2023-05-01 00:43:50,5,3,銀砂糖師與黑妖精～sugar apple fairy tale～,年份：2023/01,共12集,49.1萬,https://animeRef.php?sn=113193
4,2023-05-01 00:43:50,5,3,英雄傳說 閃之軌跡：北方戰役,年份：2023/01,共12集,17.5萬,https://animeRef.php?sn=113202
5,2023-05-01 00:43:50,5,3,冰劍的魔術師將要統一世界,年份：2023/01,共12集,102.9萬,https://animeRef.php?sn=113216
6,2023-05-01 00:43:50,5,3,D4DJ Double Mix,年份：2023/01,共1集,1.5萬,https://animeRef.php?sn=113218
7,2023-05-01 00:43:50,5,3,在地下城尋求邂逅是否搞錯了什麼 第四季,年份：2023/01,共23集,487.5萬,https://animeRef.php?sn=113077
8,2023-05-01 00:43:50,5,3,無意間變成狗，被喜歡的女生撿回家。,年份：2023/01,共14集,43.1萬,https://animeRef.php?sn=113189
9,2023-05-01 00:43:50,5,3,不當哥哥了！,年份：2023/01,共12集,137.8萬,https://animeRef.php?sn=113190
